gid,actual_price,rsi,ma25_distance,predicted_action
863533,81960.8572,62.69,27.86,BULLISH_DRIFT
863541,81945.28,61.73,22.73,BULLISH_DRIFT
863550,81914.6,56.96,17.77,BULLISH_DRIFT
863558,81927.0504,53.45,-21.76,BEARISH_DRIFT
863567,81972.6824,52.96,-2.97,BEARISH_DRIFT
863575,81954.5312,48.36,-19.61,BEARISH_DRIFT
863584,81978.82,57.4,44.51,BULLISH_DRIFT
863592,81976.8999,38.83,-4.83,BEARISH_DRIFT
863601,81940.52,43.68,-0.82,BEARISH_DRIFT
863609,81991.5504,44.46,-11.55,BEARISH_DRIFT
863618,81998.4611,50.0,27.59,BULLISH_DRIFT
863627,81892.1636,53.17,14.38,BULLISH_DRIFT
863636,82029.7925,48.28,-36.98,BEARISH_DRIFT
863644,81991.3518,56.78,44.98,BULLISH_DRIFT
863653,82071.8843,61.34,21.82,BULLISH_DRIFT
863661,82047.06,62.26,63.81,BULLISH_DRIFT
863670,82049.1,62.9,56.46,BULLISH_DRIFT
863678,82047.4992,56.94,58.33,BULLISH_DRIFT
863687,82029.5597,58.21,39.84,BULLISH_DRIFT
863695,81939.4795,43.14,-117.02,BEARISH_DRIFT
863704,81908.1842,47.36,-58.76,BEARISH_DRIFT
863712,81870.962,39.78,-84.04,BEARISH_DRIFT
863721,81929.2755,41.04,-80.04,BEARISH_DRIFT
863729,81904.03,43.84,-49.61,BEARISH_DRIFT
863738,81935.5935,35.88,-70.91,BEARISH_DRIFT
863746,81902.4382,42.3,-30.68,BEARISH_DRIFT
863755,81845.0511,32.0,-89.41,BULLISH_DRIFT
863763,81874.3423,29.09,-135.86,BULLISH_DRIFT
863772,81905.71,32.82,-85.68,BULLISH_DRIFT
863780,81886.75,39.17,-46.09,BEARISH_DRIFT
863789,81866.563,57.83,-69.42,BEARISH_DRIFT
863797,81897.0046,42.26,-94.07,BEARISH_DRIFT
863806,81895.16,49.89,-48.21,BEARISH_DRIFT
863814,81877.09,48.34,-42.32,BEARISH_DRIFT
863823,81840.42,42.61,-55.44,BEARISH_DRIFT
863831,81831.786,40.42,-78.41,BEARISH_DRIFT
863840,81904.99,37.01,-44.77,BEARISH_DRIFT
863848,81903.5637,51.61,-2.24,BEARISH_DRIFT
863857,81864.87,57.75,-8.07,BEARISH_DRIFT
863865,81854.53,47.15,-36.31,BEARISH_DRIFT
863874,81861.99,37.24,-43.43,BEARISH_DRIFT
863882,81845.9129,43.54,-28.52,BEARISH_DRIFT
863891,81801.2839,42.42,-75.93,BEARISH_DRIFT
863899,81749.2088,31.87,-83.97,BULLISH_DRIFT
863908,81799.9858,34.98,-118.86,BULLISH_DRIFT
863916,81789.13,40.18,-59.11,BEARISH_DRIFT
863925,81830.8881,43.46,-53.94,BEARISH_DRIFT
863933,81846.36,42.36,-61.74,BEARISH_DRIFT
863942,81899.9828,40.37,-19.58,BEARISH_DRIFT
863950,81888.58,49.38,20.96,BULLISH_DRIFT
863959,81869.1395,53.87,21.24,BULLISH_DRIFT
863967,81849.03,50.0,-4.08,BEARISH_DRIFT
863976,81846.3147,48.38,-4.24,BEARISH_DRIFT
863984,81838.2471,52.29,-23.08,BEARISH_DRIFT
863993,81827.2849,55.29,-17.99,BEARISH_DRIFT
864001,81781,55.2,-32.3,BEARISH_DRIFT
864010,81799.98,50.6,-30.88,BEARISH_DRIFT
864018,81818.89,44.52,-51.52,BEARISH_DRIFT
864027,81828.85,50.63,-28.86,BEARISH_DRIFT
864036,81802.7613,27.48,-11.52,BULLISH_DRIFT
864045,81835.5,32.75,-9.0,BULLISH_DRIFT
864053,81832.8172,52.74,1.19,BULLISH_DRIFT
864062,81791.8228,32.22,-50.0,BULLISH_DRIFT
864070,81784.0695,27.63,-63.84,BULLISH_DRIFT
864079,81764.0793,27.66,-58.72,BULLISH_DRIFT
864087,81731.6013,29.83,-74.89,BULLISH_DRIFT
864096,81731.22,19.21,-114.79,BULLISH_DRIFT
864104,81688.5299,32.03,-105.67,BULLISH_DRIFT
864113,81711.8666,21.52,-149.77,BULLISH_DRIFT
864121,81702.7308,22.02,-98.7,BULLISH_DRIFT
864130,81736.8697,20.01,-104.54,BULLISH_DRIFT
